"","Tweet","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"193","Not Lockdown, but Community Quarantine.
Watch it! - ",0,1,0,2,0,0,0,0,0,1
"194","",0,0,0,0,0,0,0,0,0,0
"195","",0,0,0,0,0,0,0,0,0,0
"196","Remember when the people from Wuhan tried to flee before the lockdown? That’s exactly what is happening in the Philippines right now. So good luck spreading the virus, people. <U+0001F495>",0,2,0,1,2,0,2,1,2,2
"197","[ANNOUNCEMENT]

In light of the recent announcement by the President of the Philippines, AllrisePH's 35th Fanproject for our dearest kamahalan Lee Hyukjae has been canceled due to the Metro Manila lockdown. ",0,1,0,0,0,0,0,1,0,1
"198","President Duterte announced strict immigration curbs and a halt on domestic land, sea and air travel to and from Manila, in what he called a ""lockdown"" of the capital to arrest the spread of coronavirus.
",0,0,0,0,0,0,0,1,1,3
"199","WATCH: Panic buying at a supermarket in Manila, the Philippines, on March 12 as the country goes into lockdown over the coronavirus.
",0,1,0,2,0,0,0,0,1,1
"200","Philippines and weather

",0,0,0,0,0,0,0,0,0,0
"201","",0,0,0,0,0,0,0,0,0,0
"202","",0,0,0,0,0,0,0,0,0,0
"203","",0,0,0,0,0,0,0,0,0,0
"204","Cancelled our flight to the Philippines bc Manila’s gonna be on lockdown due to the corona virus outbreak ://",0,0,0,0,0,0,0,0,1,0
"205","",0,0,0,0,0,0,0,0,0,0
"206","",0,0,0,0,0,0,0,0,0,0
"207","Philippines vacation cancelled because Manila is on lockdown for the coronavirus. After more than a dozen calls, hang ups, on hold music, getting hung up on, we FINALLY reached a live person at chase travel ",0,3,1,0,3,1,1,2,2,3
"208","People shouts for total lockdown, but they don't understand what would gonna happen to the Philippines if that happens.",0,1,0,0,0,0,0,0,0,0
"209","Let’s not call it a lockdown okay? Philippines can’t afford a lockdown like how Wuhan and Italy is doing. A lockdown means people aren’t allowed to go out of their houses and the government will provide them everything. Lol the Ph government can’t do that shit.",1,0,1,1,0,0,0,1,2,2
"210","Coronavirus lockdown strikes fear among Manila's poor | Philippines - ",1,0,0,1,0,0,0,0,1,0
"211","",0,0,0,0,0,0,0,0,0,0
